Title,Company,Location,PostDate,ExtractDate,Summary,Salary,JobUrl
Junior Data Scientist,Leidos,"Pittsburgh, PA",1 day ago,10-29-2020,Description Job Description: Leidos is a Fortune 500™ company aimed at embracing and solving some of the world’s most pressing challenges. Through science…,,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CZUO70VSdYKA8PR3jfrSh5ljhqJhfDt0PzQCMubt8cRnyhDD9XgeBp6fX700neD-NP6IWQyuUC-izvsz7qpEI5BgwcNYv-H8ZnvadbJsllirRWSJ5U4pzUOlfwwGdQLn646QATf-WgD3t1FEzVvoKhECmkePolm8PVUS73fpzCcyyo2oJRJn1O74M_o5IkxFUldIBNisDwIP5c3OQ_Qsm6CilFW3GsXkThA9DhmMdQ5lJXXvuaPtJkWPyXzfctVpbeZl14cPjBHMGZVNj_lBNsFDrJMtwXUbqRZf0OTo1U5aEf0--bwkDVioWlWJzfk-8Kq5wRXXB003XZ0Kierpi95s88sYpzjLI94rrY-ubp7jaWwtzbcdeT9AsuUcyyhMbrxfVnB9VYTojZrxVt0Ytfg8xBaKz-XaQEXbC6jiMQ6YiDL5M-B4pKwgLpo8JZxBJuDegBwwb7mqeA8yxeTOoKAhcHHgkR4m3WvUWtmTIJz1y3dCSQ3OJSZuwAS3r8EAk=&p=0&fvj=0&vjs=3
Data Architect,TeamBradley,"Chicago, IL",Just posted,10-29-2020,"OVERVIEW OF THE POSITION: Our client, a global manufacture of building products is growing and teaming with TeamBradley to help add to their IT team. They…",,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C8RJO8cTy_v0CygflzcSswzc4nG2WKSO7ZEPWCUkvJOrzq7MLXnzO8CaovKcmGEJLv0RdypxHNgUvRyudSeKCa1hJx5U217zhufKw-yhmjIpe_w_-fn2GbP3bxehQx34MrhntqomJqxbCMuQ0biYyKC9Wxg9wLs3WLp8o5a1MSnVCXA5ZyDOjfKXNh9p_hcpsqlhB5oDE-AK3CiS5ztjUMe_xA2yC3Lici4KMAh_7bGipSLnJp3k5BvCI3zhz2fPhlE-7M8j8hcmNccIyGhGUdYnHGHELabZwcVEVB5GATGpAjbtC88kw_BdDYjF1tSwyqXLiirsr3UbGvb1EE80llOosHKIsW1_4mQYxTCX8ODA1t3mJ2Sgg7SOyZd97AUCX_P-azF5qmQCeHUIfsHOlZYNojpsZ-pSWhBa6GJ6nxQJ79JQc7au32bsIkr-5KJqUSSEAJe6FnSQR9Bz6SH7uO&p=1&fvj=1&vjs=3
Data Scientist Consultant,Zora Digital,Remote,11 days ago,10-29-2020,What's Zora Digital All About? We're a Chicago-based digital marketing consulting firm. We’re all about being analytical and creative. Urban and universal.…,Up to $75 an hour,https://www.indeed.com/company/Zora-Digital/jobs/Data-Scientist-Consultant-dfda875f6c2c2f4b?fccid=c4ae758572b8e76d&vjs=3
Data Scientist,Knock,United States,Today,10-29-2020,"Knock is on a mission to revolutionize how people buy and sell homes. With a Knock Home Swap™, homeowners get the certainty and convenience of being able to…",,https://www.indeed.com/rc/clk?jk=d56cc6d8bb5dc869&fccid=f0c02e05b04b1569&vjs=3
Data Scientist,Epace Technology,United States,1 day ago,10-29-2020,"Only On W2 Accepted. Job Description: · Looking for a candidate with Computer Science Degree, Statistics background or degree, Applied Physics, Mathematics…",,https://www.indeed.com/rc/clk?jk=897be629172f9721&fccid=28cf12cd52776c04&vjs=3
Data Scientist Analyst,Weber-Stephen Products LLC,United States,Today,10-29-2020,"Weber is looking for an Analyst, Data Science to join our Strategic Data Analytics team. Analysts work on our centralized enterprise analytics team to analyze…",,https://www.indeed.com/rc/clk?jk=deb6617090adf2a8&fccid=79bd6aafbadfa288&vjs=3
Data Scientist - Fully Remote,DataSource.ai,"San Francisco, CA",10 days ago,10-29-2020,"We are a diverse and fully-distributed team from around the world, working toward our shared vision to democratize data science competitions. *Join us as a…","$113,114 - $221,749 a year",https://www.indeed.com/company/DataSource.ai/jobs/Data-Scientist-1659efbba759a208?fccid=cd2fb02c98d6631e&vjs=3
Jr. Data Scientist,Dash Technologies Inc,"Kansas City, KS",7 days ago,10-29-2020,Dash Technologies is an industry-leading software solutions provider as well as an IT training provider for over a decade now. Position: Strictly W2 Only …,"$76,029 - $105,000 a year",https://www.indeed.com/company/Dash-Technologies-Inc/jobs/Junior-Data-Scientist-9926d4f7f46b8607?fccid=899d5c87949021be&vjs=3
Entry Level Data Scientist,Spectra Infosystems,"San Mateo, CA",4 days ago,10-29-2020,"Company Description Our company is a leading IT services, consulting and outsourcing company delivering exceptional business solutions and customer value to…",,https://www.indeed.com/rc/clk?jk=23f087c8f24a97c0&fccid=8e44d5d5e9a1ffae&vjs=3
Data Scientist - Entry to Experienced Level,National Security Agency (NSA),"Fort Meade, MD",8 days ago,10-29-2020,"NSA is in search of Computer Science professionals to solve complex problems, test innovative approaches and research new solutions to storing, manipulating,…","$102,663 - $157,709 a year",https://www.indeed.com/rc/clk?jk=b3d58051359f695b&fccid=e8f18ca6180ec8da&vjs=3
