Title,Company,Location,PostDate,ExtractDate,Summary,Salary,JobUrl
Data Engineer,Michael Bailey Associates - UK Contracts,"Kingdom City, MO",1 day ago,10-29-2020,"Experience working with large-scale data environments.
Experience in leading data engineering projects is a big plus..
Data Warehouse and Data Lake solutions.",,https://www.indeed.com/rc/clk?jk=1a9ce8a3cb929384&fccid=6131b5f01b171b34&vjs=3
Data Engineer,Seattle Kraken,"Seattle, WA",1 day ago,10-29-2020,"Build data quality assurance tools to ensure data integrity.
Experience with ETL data processing.
Experience with creating APIs to access data.",,https://www.indeed.com/rc/clk?jk=24efbb364565678f&fccid=b3bb074247fb26be&vjs=3
Data Engineer,Epace Technology,United States,1 day ago,10-29-2020,"Deploy inclusive data quality checks to ensure high quality of data.
Develop technical solutions to improve access to data and data usage.",,https://www.indeed.com/rc/clk?jk=ab3e62fc4147b55b&fccid=28cf12cd52776c04&vjs=3
Data Engineer,Platform.sh,United States,Today,10-29-2020,"Build batch and real-time data pipelines to ingest and process data from various sources such as product backends, third party platforms, etc.",,https://www.indeed.com/rc/clk?jk=966b6327465cccff&fccid=19052431ee586316&vjs=3
Data Engineer,McDonald's Corporation,"Chicago, IL",1 day ago,10-29-2020,"The role will work closely with data scientists and ML engineers and includes designing, architecting, and building data pipelines to support business use cases…",,https://www.indeed.com/rc/clk?jk=fcf1d24fda1434b8&fccid=f753bb1a40104d82&vjs=3
Data Engineer,ABCS Corporation,"Phoenix, AZ",8 days ago,10-29-2020,"Understanding of data architecture concepts such as data modeling, metadata, workflow management, ETL/ELT, real-time streaming), data quality.",$75 an hour,https://www.indeed.com/company/ABCS-Corporation/jobs/Data-Engineer-00231ba8fda3c758?fccid=42f230a67af9c6a0&vjs=3
Data Engineer,Course Hero,"Redwood City, CA",1 day ago,10-29-2020,"Work with our teams of data scientists, machine learning engineers and software engineers to work efficiently and reliably with terabytes of data.",,https://www.indeed.com/rc/clk?jk=13d42e0465c13ae0&fccid=569fb056870f3220&vjs=3
Data Engineer,Playwire Media,"Boca Raton, FL",8 days ago,10-29-2020,"Architect and maintain data pipelines, data lakes, and databases, both independently and as part of a data engineering team.
Temporarily due to COVID-19.",,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DFEPsj5XEEyDxXTSiircIR4WX4droDDGOVg6pfRRvBm6JZlzQwmh-BKo_XhS1f0ACQbg1zBX-bnC58MZ2kfSJSL7g1pn0FFVEWN0oEc9RIt_fxzElF8SlvS2mIsVC7uXH1Fv_3cPJgIjhvxmn6hctJIoY1o_pvYCvBavul5eI_ADXVqW3mUs3xUhmYakeX2KZCU8MyPPenZnxm7EepaXlamIS5Vw0L4ZshubjvlTMUGoKRSW7jkzaHJbFZislzUnuwnkfdD8DyZlRNtqxC6IGO2sY0KsqNgx_83KmDOKBJNe_99TAb_6q-lA-kDQqInQDgaXFdDqHq8vOQ_L795Q7yXe9UDNWShf3OWJKDC4ekYrEn1LFdSjJcTtspLm9PoH882hWXYNjPcMHOG8yIerVlvdS6E3ru0358CNBFGMLQqdINMAihQH0GtT2DV_yP0OnJwC6w8hTliQ==&p=17&fvj=1&vjs=3
Data Engineer - Mid Level,USAA,"Fountain Hills, AZ",2 days ago,10-29-2020,"Analyze data and enable machine learning.
Help on-board entry level engineers.
Data Engineers deliver quality reporting and data intelligence solutions to the…",,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CdTBpsLrhs4IwmIsoO0brdHaF9POTtXIeJjdlamKYQ_HWXH6wnIvGc8UGs1d70_o1FI6_nx3Fvo4mnocXf6yaCsbKn7mQJCkxHvx-6rVs0rcRSlzTxru6TFjlOrXzTMzAkT_j8w-DMVAQLSbcCdD9RaABWgQ0KxkogeKy7p_k3ZsJLe7MCtQEDXsN0j24hAQFAcxWzH0XUjdbFzt4-90rwlQBFyFu55Cghvgmce505RVTUrxNyExwxibrPi5shfLU_zZabOmgeUbw-9NqH5HhoByH3h-HYNrff5o1JgXDAY0KFaNXP5TFQRoKr1Srp21gLpnm_Z6B7YIsVo64g55hQ18f0WFYOtsf5hAWzaSIwPr7cRZI3CilDLVrn9eP7gYQ=&p=18&fvj=0&vjs=3
Data Engineer,Michael Bailey Associates - UK Contracts,"Kingdom City, MO",1 day ago,10-29-2020,"Experience working with large-scale data environments.
Experience in leading data engineering projects is a big plus..
Data Warehouse and Data Lake solutions.",,https://www.indeed.com/rc/clk?jk=1a9ce8a3cb929384&fccid=6131b5f01b171b34&vjs=3
"Entry-Level Data Positions (Data Engineer, Machine Learning & Visualization)",Citi,"Jacksonville, FL",13 days ago,10-29-2020,"Knowledge of the principles of software engineering and data analytics.
Here, you will scale our data science models into production-level applications.",,https://www.indeed.com/rc/clk?jk=d2e8a5eaac52a039&fccid=5bcd1ef0a7f4fb99&vjs=3
Data Engineer,Cognizant Technology Solutions,"Bloomington, IL",Just posted,10-29-2020,"Designing and coding Hadoop applications to analyze data collections.
Bachelor’s degree in Software Engineering or Computer Science.",,https://www.indeed.com/rc/clk?jk=00c917aa8f5e1c07&fccid=2df6a1e69a70a1e7&vjs=3
Data Platform Engineer,Pantheon,United States,Just posted,10-29-2020,"Experience supporting data scientists and analysts through PaaS.
Create an automated, state of the art, data platform for various job types and sizes.",,https://www.indeed.com/rc/clk?jk=b13eb1efb03b1e99&fccid=dd616958bd9ddc12&vjs=3
Data Engineer,FlexIT Inc,"Beaverton, OR",2 days ago,10-29-2020,"Must be able to execute and deliver data pipelines.
Establishes database management systems, standards, guidelines and quality assurance for database…",,https://www.indeed.com/rc/clk?jk=e011aef49e4a08b4&fccid=2f3a12745010baf7&vjs=3
Data Engineer I,2U,"Brooklyn, NY",10 days ago,10-29-2020,"Maintaining data pipelines & data systems.
The team is responsible for 2U's analytical data warehouse and supporting data pipelines.",,https://www.indeed.com/rc/clk?jk=a6d810f567143e91&fccid=8f236bae1b36b1dc&vjs=3
Data Engineer,Recorded Future,"Boston, MA",6 days ago,10-29-2020,"Find ways to use our own data to make our data processing more efficient.
Build code and user interfaces to manipulate data at scale and expand our use of…",,https://www.indeed.com/rc/clk?jk=de8e493d8e74331f&fccid=b276df3fa16c132a&vjs=3
Associate Data Engineer,Blue Cross Blue Shield of Louisiana,"Baton Rouge, LA",2 days ago,10-29-2020,"Completion of a data engineer or relevant internship program.
Support of a data warehousing, data mart, data lake, and/or business intelligence environment.",,https://www.indeed.com/rc/clk?jk=2e3f5b33ed30b89a&fccid=4f8f5d6678a5792a&vjs=3
Data Center Engineer,"UPPER, LLC","Columbia, SC",10 days ago,10-29-2020,"UPPER holds a database of qualifying Engineers.
Data Center: 1 year (Preferred).",$30 - $40 an hour,"https://www.indeed.com/company/UPPER,-LLC/jobs/Data-Center-Engineer-2b1986f69572d30c?fccid=ce1301670fc29522&vjs=3"
Data Engineer (Virtual),Amazon.com Services LLC,Remote,2 days ago,10-29-2020,"Experience with data modeling, data warehousing, and building ETL pipelines.
Familiarity with data quality automation.
We need a Data Engineer!",,https://www.indeed.com/rc/clk?jk=c9a211cb008153ab&fccid=fe2d21eef233e94a&vjs=3
Data Warehouse Engineer,Standav Corp,"San Ramon, CA",3 days ago,10-29-2020,"Perform data profiling on large, complex data sets and provide insights into data quality challenges.
Build, maintain, and improve data models, dashboards, and…",$60 - $63 an hour,https://www.indeed.com/company/Teknett/jobs/Data-Warehouse-Engineer-519ad1f8efc7b24d?fccid=4bbc7a11efd7393c&vjs=3
EMC Avamar Data Engineer,Infogain,"Watsonville, CA",6 days ago,10-29-2020,"Avamar software provides source-based deduplication, reducing data at the server before the data is moved to the backup target.
EMC Avamar: 1 year (Preferred).","$84,242 - $102,962 a year",https://www.indeed.com/company/Infogain/jobs/EMC-Avamar-Data-Engineer-be388f898780116e?fccid=3c566800dc2b9808&vjs=3
Data Engineer,"Avineon, Inc.",Remote,7 days ago,10-29-2020,"Warehousing, data cleaning, data pipelines, and other analytical techniques required for data usage.
Proficient with data models, large datasets, business…","$87,378 - $120,000 a year","https://www.indeed.com/company/Avineon,-Inc./jobs/Data-Engineer-7fe8606c0ad8b6ae?fccid=d9257ebf47059952&vjs=3"
Data Engineer - Minecraft,Microsoft,"Redmond, WA",4 days ago,10-29-2020,"As a BI data engineer specializing in scalable ETL, you are an expert in designing, developing, and maintaining secure, scalable data warehousing, data…",,https://www.indeed.com/rc/clk?jk=1b66f3152e0a47df&fccid=734cb5a01ee60f80&vjs=3
